rifiuto,X_r,is_best,n_vehicles,F_total,F_insoddis,F_costo_fisso,F_viaggio,F_lavoro,greedy_time_sec
organico,0.5,0,75,122064.1263,115447.5,4500.0,337.0413,1779.585,47.030833
organico,1.0,0,39,99015.3996,90447.5,4680.0,546.8472,3341.0524,47.030833
organico,1.5,0,29,76302.2623,65447.5,5220.0,747.6598,4887.1025,47.030833
organico,2.0,0,28,58399.2781,44203.5,6720.0,983.1604,6492.6178,47.030833
organico,2.5,0,28,44460.2226,26715.5,8400.0,1228.9504,8115.7722,47.030833
organico,3.0,0,28,43973.1672,22679.5,10080.0,1474.7405,9738.9266,47.030833
organico,3.5,1,28,43486.1117,18643.5,11760.0,1720.5306,11362.0811,47.030833
organico,4.0,0,28,46074.0562,17682.5,13440.0,1966.3207,12985.2355,47.030833
organico,4.5,0,28,51737.0008,19796.5,15120.0,2212.1108,14608.39,47.030833
organico,5.0,0,28,57399.9453,21910.5,16800.0,2457.9009,16231.5444,47.030833
organico,5.5,0,28,65948.8898,26910.5,18480.0,2703.691,17854.6988,47.030833
organico,6.0,0,28,74497.8343,31910.5,20160.0,2949.4811,19477.8533,47.030833
carta,0.5,0,50,34967.5786,31179.0,2000.0,289.9763,1498.6023,47.030833
carta,1.0,0,26,16088.5862,10686.2,2080.0,486.0897,2836.2966,47.030833
carta,1.5,1,24,14471.8875,6650.2,2880.0,713.7007,4227.9868,47.030833
carta,2.0,0,24,19193.1167,8764.2,3840.0,951.6009,5637.3158,47.030833
carta,2.5,0,24,26800.3458,13764.2,4800.0,1189.5011,7046.6447,47.030833
carta,3.0,0,24,34407.575,18764.2,5760.0,1427.4013,8455.9737,47.030833
carta,3.5,0,24,42014.8041,23764.2,6720.0,1665.3015,9865.3026,47.030833
carta,4.0,0,24,49622.0333,28764.2,7680.0,1903.2017,11274.6316,47.030833
carta,4.5,0,24,57229.2625,33764.2,8640.0,2141.102,12683.9605,47.030833
carta,5.0,0,24,64836.4916,38764.2,9600.0,2379.0022,14093.2894,47.030833
carta,5.5,0,24,72443.7208,43764.2,10560.0,2616.9024,15502.6184,47.030833
carta,6.0,0,24,80050.95,48764.2,11520.0,2854.8026,16911.9473,47.030833
plastica,0.5,0,64,74598.7794,70504.3,2240.0,314.2556,1540.2238,47.030833
plastica,1.0,0,32,51148.369,45504.3,2240.0,516.1833,2887.8857,47.030833
plastica,1.5,0,24,32614.3804,25161.74,2520.0,710.3675,4222.2729,47.030833
plastica,2.0,0,24,25693.8567,15744.94,3360.0,951.6009,5637.3158,47.030833
plastica,2.5,1,24,24145.0858,11708.94,4200.0,1189.5011,7046.6447,47.030833
plastica,3.0,0,24,28131.315,13207.94,5040.0,1427.4013,8455.9737,47.030833
plastica,3.5,0,24,33309.7441,15899.14,5880.0,1665.3015,9865.3026,47.030833
plastica,4.0,0,24,40796.9733,20899.14,6720.0,1903.2017,11274.6316,47.030833
plastica,4.5,0,24,48284.2025,25899.14,7560.0,2141.102,12683.9605,47.030833
plastica,5.0,0,24,55771.4316,30899.14,8400.0,2379.0022,14093.2894,47.030833
plastica,5.5,0,24,63258.6608,35899.14,9240.0,2616.9024,15502.6184,47.030833
plastica,6.0,0,24,70745.89,40899.14,10080.0,2854.8026,16911.9473,47.030833
vetro,0.5,1,33,9353.3641,5343.1,1815.0,255.321,1939.9431,47.030833
vetro,1.0,0,33,12394.8029,4382.1,3630.0,507.759,3874.944,47.030833
vetro,1.5,0,33,21401.1544,9382.1,5445.0,761.6385,5812.4159,47.030833
vetro,2.0,0,33,30407.5059,14382.1,7260.0,1015.5179,7749.8879,47.030833
vetro,2.5,0,33,39413.8573,19382.1,9075.0,1269.3974,9687.3599,47.030833
vetro,3.0,0,33,48420.2088,24382.1,10890.0,1523.2769,11624.8319,47.030833
vetro,3.5,0,33,57426.5602,29382.1,12705.0,1777.1564,13562.3038,47.030833
vetro,4.0,0,33,66432.9117,34382.1,14520.0,2031.0359,15499.7758,47.030833
vetro,4.5,0,33,75439.2632,39382.1,16335.0,2284.9154,17437.2478,47.030833
vetro,5.0,0,33,84445.6146,44382.1,18150.0,2538.7949,19374.7198,47.030833
vetro,5.5,0,33,93451.9661,49382.1,19965.0,2792.6744,21312.1918,47.030833
vetro,6.0,0,33,102458.3176,54382.1,21780.0,3046.5538,23249.6637,47.030833
indifferenziata,0.5,0,47,91449.8196,87358.0,2115.0,285.5335,1691.2861,47.030833
indifferenziata,1.0,0,28,68627.6841,62358.0,2520.0,495.9257,3253.7584,47.030833
indifferenziata,1.5,0,28,48247.2336,38860.4,3780.0,737.3703,4869.4633,47.030833
indifferenziata,2.0,0,28,33888.1781,21372.4,5040.0,983.1604,6492.6178,47.030833
indifferenziata,2.5,0,28,32981.1226,17336.4,6300.0,1228.9504,8115.7722,47.030833
indifferenziata,3.0,1,28,32074.0672,13300.4,7560.0,1474.7405,9738.9266,47.030833
indifferenziata,3.5,0,28,37317.0117,15414.4,8820.0,1720.5306,11362.0811,47.030833
indifferenziata,4.0,0,28,42559.9562,17528.4,10080.0,1966.3207,12985.2355,47.030833
indifferenziata,4.5,0,28,50688.9008,22528.4,11340.0,2212.1108,14608.39,47.030833
indifferenziata,5.0,0,28,58817.8453,27528.4,12600.0,2457.9009,16231.5444,47.030833
indifferenziata,5.5,0,28,66946.7898,32528.4,13860.0,2703.691,17854.6988,47.030833
indifferenziata,6.0,0,28,75075.7343,37528.4,15120.0,2949.4811,19477.8533,47.030833
